name,place,adjplace,team,time
Louis Falland,1,1,Cornerstone,25:06
Jonathan Gries,2,DNS,Playmakers_Elite_EXB,25:12
David VandeBunte,3,DNS,Playmakers_Elite_EXB,25:22
Zac Nowicki,4,2,Calvin,25:28
Stephen Glinski,5,3,Aquinas,25:32
Omero Montalvo,6,4,St_Francis_Ill,25:34
Marcus Hobbs,7,5,Indiana_Tech,25:47
Jordan Henning,8,6,Kalamazoo,25:50
Nathan Rosenbaum,9,7,Ohio_Northern,25:51
Thomas Windle,10,8,Adrian,25:54
Andre Otte,11,9,Calvin,25:55
Steven Haagsma,12,10,Calvin,25:57
Brendan Molony,13,DNS,Unattached,25:59
Jake Fitzgerald,14,11,St_Francis_Ill,26:00
Stephen Wilder,15,12,St_Francis_Ill,26:01
Joel Hartman,16,13,Bethel_Ind,26:04
Philip Spitzer,17,DNS,Unattached,26:04
Sam Merriman,18,14,Case_Western,26:05
Jeff Meitler,19,15,Calvin,26:06
William Huddleston,20,16,Ohio_Northern,26:07
Jacob Towne,21,17,Aquinas,26:10
Brian Blaylock,22,18,St_Francis_Ill,26:11
Andrew Philipose,23,19,Calvin,26:12
Ethan Anderson,24,20,Calvin,26:13
Tim Travitz,25,21,Case_Western,26:13
Jeff Cherry,26,22,Aquinas,26:15
Paul Watts,27,23,DePauw,26:15
Tony Spalding,28,24,Case_Western,26:19
Stephen Tubergen,29,25,Calvin,26:20
Andrew Rylaarsdam,30,(> 7),Calvin,26:21
Galen Caldwell,31,26,Case_Western,26:21
Dylan Dombi,32,27,Heidelberg,26:21
Noah Gatwood,33,28,DePauw,26:24
Brad Perschbacher,34,29,Aquinas,26:24
Bret Habura,35,(> 7),Calvin,26:25
Aaren Hemmelgarn,36,30,Ohio_Northern,26:25
Mark DeJong,37,(> 7),Calvin,26:27
Robbie Hohlman,38,31,Calvin-B,26:29
Kase Schalois,39,32,Ohio_Northern,26:29
Cully Gordon,40,33,Ohio_Northern,26:30
Andrew Harden,41,34,Ohio_Northern,26:30
Kevin Hardin,42,35,St_Francis_Ill,26:31
Jonathan Gingrich,43,(> 7),Calvin,26:32
Eric Wymer,44,36,Ohio_Northern,26:34
John Niendorf,45,37,St_Francis_Ill,26:35
Brian Brennan,46,38,Baldwin_Wallace,26:37
Cal Morgan,47,39,Aquinas,26:38
Lou Takahashi,48,40,Case_Western,26:39
Joe Ledger,49,41,Case_Western,26:40
Matthew Konieczki,50,42,Adrian,26:40
Dylan Dominello,51,43,Indiana_Tech,26:41
Matt Peacock,52,44,St_Francis_Ill,26:42
Will Bond,53,45,DePauw,26:44
Dominick Reed,54,46,Adrian,26:45
Joe Davis,55,DNS,Unattached,26:45
Adam Sanchez,56,47,Alma,26:46
Donald Richmond,57,DNS,Playmakers_Elite_EXB,26:47
Alec Smith,58,48,Madonna,26:49
Josh Ferguson,59,(> 7),Calvin,26:49
Grant Gunneson,60,49,Aquinas,26:50
Thomas Willet,61,50,Aquinas,26:50
Greg Blevins,62,51,Baldwin_Wallace,26:51
Cam Magro,63,52,Davenport,26:52
Reis DeSantis,64,(> 7),St_Francis_Ill,26:54
John Derry,65,53,Lake_Forest,26:56
Nick Aukerman,66,54,Calvin-B,26:58
Eric Loveland,67,DNS,Playmakers_Elite_EXB,26:58
Andres Herbert,68,55,Bethel_Ind,27:00
Cameron Bredice,69,56,Davenport,27:01
Zack Johnson,70,57,Indiana_Tech,27:02
Brenden Zoltek,71,58,Indiana_Tech,27:05
Jordan Annis,72,59,Bethel_Ind,27:08
Isaac Kuntz,73,60,Heidelberg,27:09
Robert Borger,74,(> 7),Ohio_Northern,27:11
Brandon Ivins,75,(> 7),St_Francis_Ill,27:13
Shay Osytn,76,(> 7),Aquinas,27:14
Tanner Wall,77,61,Indiana_Tech,27:15
Mateo Hernandez,78,(> 7),St_Francis_Ill,27:15
Nathan VanHaitsma,79,(> 7),Calvin,27:15
Conner Stevons,80,62,Adrian,27:16
Matt Plantinga,81,63,Calvin-B,27:16
Tom Gerberich,82,(> 7),Ohio_Northern,27:17
Brady Jeffers,83,64,Baldwin_Wallace,27:18
Jonathan Stern,84,65,Lake_Forest,27:18
Dustin Brummel,85,66,Davenport,27:20
Bryan Kelly,86,67,Case_Western,27:21
Jared Holmberg,87,68,Cornerstone,27:22
Jonathan Schaap,88,(> 7),Calvin,27:23
Ryan Valentine,89,(> 7),Ohio_Northern,27:24
Jordan Kramer,90,69,Calvin-B,27:25
Evan Harney,91,70,Indiana_Tech,27:26
Austin Olshavsky,92,(> 7),Case_Western,27:26
Daniel Malcolm,93,71,Adrian,27:27
Nate Kimble,94,72,Indiana_Tech,27:27
Geoff Albaugh,95,(> 7),Aquinas,27:28
Cody Dyer,96,(> 7),Indiana_Tech,27:28
Zach Flint,97,73,Heidelberg,27:29
Kevin Vroegh,98,74,Cornerstone,27:30
Mason Swartz,99,75,Calvin-B,27:32
Aidan DeSanto,100,(> 7),Case_Western,27:34
Cameron Weaks,101,76,Heidelberg,27:35
Nick Jones,102,77,Heidelberg,27:35
John Wamhoff,103,(> 7),Indiana_Tech,27:36
Chris Lowry,104,78,DePauw,27:36
Andrew Mangiapane,105,79,Adrian,27:36
Frank Pasqua,106,(> 7),St_Francis_Ill,27:37
Gilad Doron,107,(> 7),Case_Western,27:38
Anthony Santillo,108,(> 7),St_Francis_Ill,27:39
Brent Dunn,109,80,Cornerstone,27:39
Stephen Pfahler,110,(> 7),Aquinas,27:40
Matthew Ernstes,111,(> 7),Ohio_Northern,27:42
Landon Potts,112,81,Calvin-B,27:42
Ben Davis,113,(> 7),Case_Western,27:42
Nathan Waite,114,82,Adrian,27:43
Logan Kimmel,115,83,Bethel_Ind,27:45
AJ Fraser,116,84,Bethel_Ind,27:46
Nick McKee,117,(> 7),Calvin,27:46
Devon Joslin,118,(> 7),Aquinas,27:48
Andrew Kurtz,119,(> 7),Ohio_Northern,27:49
Brad Wise,120,85,DePauw,27:50
Taylor Neff,121,86,Bethel_Ind,27:50
Ben Whitman,122,(> 7),Case_Western,27:51
Hendrik Vermeulen,123,87,Calvin-B,27:52
Steven Griffith,124,(> 7),Aquinas,27:52
Jarrett Walbolt,125,88,Bethel_Ind,27:54
Josh Risner,126,DNS,UNA-Aquinas,27:54
Jesse Unzueta,127,(> 7),St_Francis_Ill,27:55
Kevin Kenney,128,89,DePauw,27:56
Colin Krick,129,90,Defiance,27:57
Josse Smith,130,91,DePauw,27:59
Matt Adair,131,(> 7),Indiana_Tech,27:59
Rocco DiMatteo,132,92,Lake_Forest,28:00
Matt Rouwhorst,133,(> 7),Indiana_Tech,28:00
Philip Merrell,134,DNS,Unattached,28:01
Tyler Kennedy,135,(> 7),Ohio_Northern,28:03
Alexander Pollack,136,DNS,Unattached,28:03
Brandon George,137,93,Davenport,28:04
Ahron Gunn,138,94,Madonna,28:05
Adam Cichon,139,(> 7),Aquinas,28:06
Jesse Rudolph,140,95,Heidelberg,28:07
Cameron Rusnak,141,(> 7),Ohio_Northern,28:07
Nicholas Tarsa,142,(> 7),Aquinas,28:08
Joseph Parochetti,143,(> 7),St_Francis_Ill,28:08
Mason Przybysz,144,96,Davenport,28:09
