    1      1    254  Louis Falland         Cornerstone                             25:06.2  3:08/K    SR
    2    DNS    649  Jonathan Gries        Playmakers Elite (EXB)                  25:12.4  3:09/K
    3    DNS    676  David VandeBunte      Playmakers Elite (EXB)                  25:22.6  3:10/K
    4      2    198  Zac Nowicki           Calvin                                  25:28.0  3:11/K    SO
    5      3     96  Stephen Glinski       Aquinas                                 25:32.2  3:12/K    SR
    6      4    622  Omero Montalvo        St. Francis (Ill.)                      25:34.2  3:12/K    SO
    7      5    415  Marcus Hobbs          Indiana Tech                            25:47.2  3:13/K    JR
    8      6    442  Jordan Henning        Kalamazoo                               25:50.8  3:14/K    24
    9      7    564  Nathan Rosenbaum      Ohio Northern                           25:51.2  3:14/K    SR
   10      8     35  Thomas Windle         Adrian                                  25:54.0  3:14/K    SR
   11      9    199  Andre Otte            Calvin                                  25:55.5  3:14/K    JR
   12     10    191  Steven Haagsma        Calvin                                  25:57.4  3:15/K    SR
   13    DNS    674  Brendan Molony        Unattached                              25:59.2  3:15/K
   14     11    614  Jake Fitzgerald       St. Francis (Ill.)                      26:00.0  3:15/K    SO
   15     12    634  Stephen Wilder        St. Francis (Ill.)                      26:01.2  3:15/K    SR
   16     13    152  Joel Hartman          Bethel (Ind.)                           26:04.2  3:16/K    SO
   17    DNS    656  Philip Spitzer        Unattached                              26:04.4  3:16/K
   18     14    230  Sam Merriman          Case Western                            26:05.2  3:16/K    FR
   19     15    196  Jeff Meitler          Calvin                                  26:06.5  3:16/K    JR
   20     16    551  William Huddleston    Ohio Northern                           26:07.3  3:16/K    JR
   21     17    106  Jacob Towne           Aquinas                                 26:10.7  3:16/K    JR
   22     18    611  Brian Blaylock        St. Francis (Ill.)                      26:11.9  3:16/K    FR
   23     19    200  Andrew Philipose      Calvin                                  26:12.9  3:17/K    FR
   24     20    184  Ethan Anderson        Calvin                                  26:13.3  3:17/K    JR
   25     21    235  Tim Travitz           Case Western                            26:13.6  3:17/K    JR
   26     22     93  Jeff Cherry           Aquinas                                 26:15.1  3:17/K    JR
   27     23    339  Paul Watts            DePauw                                  26:15.7  3:17/K    JR
   28     24    233  Tony Spalding         Case Western                            26:19.5  3:17/K    JR
   29     25    206  Stephen Tubergen      Calvin                                  26:20.3  3:18/K    SR
   30  (> 7)    203  Andrew Rylaarsdam     Calvin                                  26:21.1  3:18/K    SO
   31     26    223  Galen Caldwell        Case Western                            26:21.4  3:18/K    SO
